instrument_id,timestamp,open,high,low,close,volume
APEX-USD-PERP.HYPERLIQUID,1771149480000,0.36495,0.36495,0.36495,0.36495,796.0
BLUR-USD-PERP.HYPERLIQUID,1771149480000,0.022238,0.022238,0.022238,0.022238,1.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70382.0,70378.0,70380.0,0.49573
POL-USD-PERP.HYPERLIQUID,1771149480000,0.10977,0.10977,0.10977,0.10977,143.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5919,1.588,1.5919,34241.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,310.76,309.85,310.45,925.7
COMP-USD-PERP.HYPERLIQUID,1771149480000,23.061,23.062,23.061,23.062,55.56
TAO-USD-PERP.HYPERLIQUID,1771149480000,189.53,189.53,189.53,189.53,1.895
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,936.0
WLFI-USD-PERP.HYPERLIQUID,1771149480000,0.10693,0.10694,0.10693,0.10694,25319.0
XLM-USD-PERP.HYPERLIQUID,1771149480000,0.17746,0.17754,0.17746,0.17754,590.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.5919,1.588,1.5919,34284.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,311.08,1226.19
kLUNC-USD-PERP.HYPERLIQUID,1771149480000,0.036727,0.036727,0.036506,0.036506,99666.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70385.0,70378.0,70385.0,0.52545
DYDX-USD-PERP.HYPERLIQUID,1771149480000,0.11203,0.11205,0.11203,0.11205,3549.6
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.141,31.121,31.141,66.54
TST-USD-PERP.HYPERLIQUID,1771149480000,0.011704,0.011704,0.011704,0.011704,1698.0
VVV-USD-PERP.HYPERLIQUID,1771149480000,3.9262,3.9334,3.9146,3.9317,4201.7
XPL-USD-PERP.HYPERLIQUID,1771149480000,0.10127,0.10134,0.10127,0.10134,13784.0
kLUNC-USD-PERP.HYPERLIQUID,1771149480000,0.036727,0.036727,0.036485,0.036485,106890.0
BIO-USD-PERP.HYPERLIQUID,1771149480000,0.025542,0.025542,0.025542,0.025542,656.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70388.0,70378.0,70388.0,0.52603
DOGE-USD-PERP.HYPERLIQUID,1771149480000,0.11445,0.11448,0.11442,0.11448,1171.0
WLFI-USD-PERP.HYPERLIQUID,1771149480000,0.10693,0.10694,0.10693,0.10694,50145.0
XRP-USD-PERP.HYPERLIQUID,1771149480000,1.5888,1.592,1.588,1.592,34316.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.66,1226.31
APT-USD-PERP.HYPERLIQUID,1771149480000,0.9725,0.9727,0.9725,0.9727,35.2
CAKE-USD-PERP.HYPERLIQUID,1771149480000,1.3472,1.3472,1.3472,1.3472,20.3
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.65,1227.4
ETC-USD-PERP.HYPERLIQUID,1771149480000,9.0401,9.0427,9.0401,9.0427,5.85
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.5,2066.9,2067.5,6.2387
ATOM-USD-PERP.HYPERLIQUID,1771149480000,2.1709,2.1709,2.1709,2.1709,7.99
DYDX-USD-PERP.HYPERLIQUID,1771149480000,0.11203,0.11205,0.11203,0.11205,6038.0
LINEA-USD-PERP.HYPERLIQUID,1771149480000,0.003879,0.003879,0.003879,0.003879,4381.0
LIT-USD-PERP.HYPERLIQUID,1771149480000,1.7099,1.7111,1.709,1.7108,1289.0
kFLOKI-USD-PERP.HYPERLIQUID,1771149480000,0.03397,0.03397,0.03397,0.03397,7019.0
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.6,2066.9,2067.6,6.3149
IP-USD-PERP.HYPERLIQUID,1771149480000,1.1766,1.1768,1.1766,1.1768,239.3
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.6,1227.46
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.145,66.91
ZORA-USD-PERP.HYPERLIQUID,1771149480000,0.021858,0.021858,0.021851,0.021851,8.0
MEGA-USD-PERP.HYPERLIQUID,1771149480000,0.13664,0.13664,0.13664,0.13664,710.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,1085.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.53,1228.58
EIGEN-USD-PERP.HYPERLIQUID,1771149480000,0.2154,0.2154,0.2154,0.2154,69.95
MET-USD-PERP.HYPERLIQUID,1771149480000,0.23071,0.23071,0.23071,0.23071,182.0
TAO-USD-PERP.HYPERLIQUID,1771149480000,189.53,189.53,189.53,189.53,2.504
SOL-USD-PERP.HYPERLIQUID,1771149480000,89.916,89.955,89.883,89.955,502.15
TAO-USD-PERP.HYPERLIQUID,1771149480000,189.53,189.53,189.53,189.53,6.84
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70388.0,70378.0,70388.0,0.52718
GOAT-USD-PERP.HYPERLIQUID,1771149480000,0.024912,0.024912,0.024912,0.024912,637.0
TRUMP-USD-PERP.HYPERLIQUID,1771149480000,3.5225,3.5239,3.5225,3.5239,9.9
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.56,1239.54
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70389.0,70378.0,70389.0,0.52742
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.56,1241.15
ADA-USD-PERP.HYPERLIQUID,1771149480000,0.29524,0.29532,0.29524,0.29532,190.0
AVAX-USD-PERP.HYPERLIQUID,1771149480000,9.5889,9.591,9.5886,9.591,57.0
FIL-USD-PERP.HYPERLIQUID,1771149480000,1.0033,1.0033,1.0033,1.0033,24.3
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.56,1244.31
ETH-USD-PERP.HYPERLIQUID,1771149480000,2067.5,2067.6,2066.9,2067.6,6.3642
LDO-USD-PERP.HYPERLIQUID,1771149480000,0.3559,0.3559,0.3557,0.3558,139.9
SUPER-USD-PERP.HYPERLIQUID,1771149480000,0.13115,0.13115,0.13115,0.13115,262.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.52812
CAKE-USD-PERP.HYPERLIQUID,1771149480000,1.3472,1.3472,1.3453,1.3453,33.0
CELO-USD-PERP.HYPERLIQUID,1771149480000,0.089226,0.089286,0.089226,0.089254,8267.0
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.145,68.94
PUMP-USD-PERP.HYPERLIQUID,1771149480000,0.002304,0.002306,0.002303,0.002306,42621.0
ZEC-USD-PERP.HYPERLIQUID,1771149480000,310.11,311.08,309.85,310.59,1247.31
ATOM-USD-PERP.HYPERLIQUID,1771149480000,2.1709,2.1709,2.1709,2.1709,16.4
BABY-USD-PERP.HYPERLIQUID,1771149480000,0.014016,0.014016,0.014015,0.014015,3429.0
BERA-USD-PERP.HYPERLIQUID,1771149480000,0.66572,0.66652,0.66572,0.66652,2345.4
HYPE-USD-PERP.HYPERLIQUID,1771149480000,31.131,31.145,31.121,31.144,69.32
LAYER-USD-PERP.HYPERLIQUID,1771149480000,0.093081,0.093081,0.093081,0.093081,188.0
TRX-USD-PERP.HYPERLIQUID,1771149480000,0.281,0.281,0.281,0.281,1245.0
BTC-USD-PERP.HYPERLIQUID,1771149480000,70379.0,70391.0,70378.0,70391.0,0.52912
LAYER-USD-PERP.HYPERLIQUID,1771149480000,0.093081,0.093081,0.093081,0.093081,422.0
EIGEN-USD-PERP.HYPERLIQUID,1771149480000,0.2154,0.2154,0.2153,0.2153,1231.64
MELANIA-USD-PERP.HYPERLIQUID,1771149480000,0.12414,0.12414,0.12414,0.12414,140.6
